Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
MCCORMICK + CO NON VTG SHRS,MKC,579780206,2550161,0.690329,-,1683635.000,USD,,,,
RPM INTERNATIONAL INC,RPM,749685103,2756174,0.678800,-,1804435.000,USD,,,,
SJW GROUP,SJW,784305104,2811932,0.661362,-,1947380.000,USD,,,,
ABBOTT LABORATORIES,ABT,002824100,2002305,0.647991,-,1388336.000,USD,,,,
PPG INDUSTRIES INC,PPG,693506107,2698470,0.637113,-,1006172.000,USD,,,,
AMERICAN STATES WATER CO,AWR,029899101,2267171,0.621759,-,1509368.000,USD,,,,
PENTAIR PLC,PNR,G7S00T104,BLS09M3,0.615479,-,2291662.000,USD,,,,
CALIFORNIA WATER SERVICE GRP,CWT,130788102,2165383,0.611566,-,2354031.000,USD,,,,
BANK OZK,OZK,06417N103,BZ56Q65,0.611541,-,3431773.000,USD,,,,
LINCOLN ELECTRIC HOLDINGS,LECO,533900106,2516851,0.607979,-,727832.000,USD,,,,
SMITH (A.O.) CORP,AOS,831865209,2816023,0.606078,-,1941371.000,USD,,,,
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.603621,-,1712459.000,USD,,,,
COMMERCE BANCSHARES INC,CBSH,200525103,2213204,0.599086,-,2609838.000,USD,,,,
UMB FINANCIAL CORP,UMBF,902788108,2918510,0.590858,-,1984258.000,USD,,,,
LANCASTER COLONY CORP,LANC,513847103,2503206,0.570144,-,623968.000,USD,,,,
CHUBB LTD,CB,H1467J104,B3BQMF6,0.569932,-,653942.000,USD,,,,
BRADY CORPORATION   CL A,BRC,104674106,2117726,0.565430,-,2511993.000,USD,,,,
WILEY (JOHN) + SONS CLASS A,WLY,968223206,2965668,0.535420,-,3036379.000,USD,,,,
WALMART INC,WMT,931142103,2936921,0.534199,-,784164.000,USD,,,,
MSA SAFETY INC,MSA,553498106,BKM4S16,0.530450,-,810028.000,USD,,,,
SEI INVESTMENTS COMPANY,SEIC,784117103,2793610,0.524140,-,1967903.000,USD,,,,
GRACO INC,GGG,384109104,2380443,0.509075,-,1396310.000,USD,,,,
BECTON DICKINSON AND CO,BDX,075887109,2087807,0.493433,-,433159.000,USD,,,,
LINDE PLC,LIN,G54950103,BNZHB81,0.493251,-,301465.000,USD,,,,
CARLISLE COS INC,CSL,142339100,2176318,0.480524,-,466552.000,USD,,,,
ECOLAB INC,ECL,278865100,2304227,0.468697,-,595048.000,USD,,,,
DONALDSON CO INC,DCI,257651109,2276467,0.457585,-,1695437.000,USD,,,,
STEPAN CO,SCL,858586100,2845005,0.447960,-,1008510.000,USD,,,,
EXPEDITORS INTL WASH INC,EXPD,302130109,2325507,0.440782,-,841695.000,USD,,,,
DOVER CORP,DOV,260003108,2278407,0.438000,-,692714.000,USD,,,,
CHURCH + DWIGHT CO INC,CHD,171340102,2195841,0.437527,-,1035492.000,USD,,,,
BROWN FORMAN CORP CLASS B,BF.B,115637209,2146838,0.435864,-,1538364.000,USD,,,,
NUCOR CORP,NUE,670346105,2651086,0.432229,-,662200.000,USD,,,,
APTARGROUP INC,ATR,038336103,2045247,0.426684,-,820619.000,USD,,,,
NORDSON CORP,NDSN,655663102,2641838,0.421351,-,411261.000,USD,,,,
COMMUNITY BANK SYSTEM INC,CBU,203607106,2222062,0.418983,-,1724447.000,USD,,,,
S+P GLOBAL INC,SPGI,78409V104,BYV2325,0.393926,-,228416.000,USD,,,,
H.B. FULLER CO.,FUL,359694106,2354664,0.393567,-,1291136.000,USD,,,,
SHERWIN WILLIAMS CO/THE,SHW,824348106,2804211,0.387502,-,354550.000,USD,,,,
ROYAL GOLD INC,RGLD,780287108,2755706,0.381601,-,684459.000,USD,,,,
CINTAS CORP,CTAS,172908105,2197137,0.366630,-,166342.000,USD,,,,
FRANKLIN ELECTRIC CO INC,FELE,353514102,2350383,0.361956,-,825880.000,USD,,,,
WW GRAINGER INC,GWW,384802104,2380863,0.357647,-,114659.000,USD,,,,
NIKE INC CL B,NKE,654106103,2640147,0.328314,-,679771.000,USD,,,,
ALBEMARLE CORP,ALB,012653101,2046853,0.310723,-,320573.000,USD,,,,
BROWN + BROWN INC,BRO,115236101,2692687,0.291289,-,1003989.000,USD,,,,
FACTSET RESEARCH SYSTEMS INC,FDS,303075105,2329770,0.283132,-,156567.000,USD,,,,
BADGER METER INC,BMI,056525108,2069128,0.278948,-,419128.000,USD,,,,
CASEY S GENERAL STORES INC,CASY,147528103,2179414,0.245424,-,240615.000,USD,,,,
RENAISSANCERE HOLDINGS LTD,RNR,G7496G103,2728429,0.244432,-,278241.000,USD,,,,
RLI CORP,RLI,749607107,2719070,0.240213,-,409987.000,USD,,,,
WR BERKLEY CORP,WRB,084423102,2093644,0.224946,-,859390.000,USD,,,,
ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.220960,-,107015.000,USD,,,,
WEST PHARMACEUTICAL SERVICES,WST,955306105,2950482,0.072620,-,46121.000,USD,,,,
872062182 TRS USD R E QTY BANK OZK,-,99S1Y04C3,-,0.035520,-,2261723.000,USD,,,,
S+P500 EMINI FUT  JUN23,ESM3,ADI1YWSQ6,-,0.022607,-,21950.000,USD,,,,
872062190 TRS USD R E QTY COMMUNITY BANK SYSTEM INC,-,99S1Y0490,-,0.019661,-,1251900.000,USD,,,,
886243248 TRS USD R E QTY BANK OZK,-,99S1Y2NL8,-,0.016528,-,623000.000,USD,,,,
KNIFE RIVER CORP,KNF,498894104,BPLL4V5,0.015684,-,93477.000,USD,,,,
