Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PHNX.L","PHOENIX GROUP HOLDINGS PLC","Financials","Equity","6,487,333.88","0.23","6,487,333.88","921,250.00","7.04","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"TW.L","TAYLOR WIMPEY PLC","Consumer Discretionary","Equity","6,264,837.27","0.22","6,264,837.27","4,334,844.00","1.45","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"JD.L","JD SPORTS FASHION PLC","Consumer Discretionary","Equity","6,068,761.03","0.21","6,068,761.03","3,206,388.00","1.89","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"PSN.L","PERSIMMON PLC","Consumer Discretionary","Equity","5,997,744.13","0.21","5,997,744.13","392,373.00","15.29","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"EDV.L","ENDEAVOUR MINING","Materials","Equity","5,864,403.68","0.21","5,864,403.68","229,119.00","25.60","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"WISE.L","WISE PLC CLASS A","Financials","Equity","5,747,813.91","0.20","5,747,813.91","758,702.00","7.58","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"SDR.L","SCHRODERS PLC","Financials","Equity","5,741,864.77","0.20","5,741,864.77","993,461.00","5.78","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"JMAT.L","JOHNSON MATTHEY PLC","Materials","Equity","4,967,298.48","0.17","4,967,298.48","225,421.00","22.04","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"BLND.L","BRITISH LAND REIT PLC","Real Estate","Equity","4,779,933.74","0.17","4,779,933.74","1,086,445.00","4.40","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"HL.L","HARGREAVES LANSDOWN PLC","Financials","Equity","4,729,022.90","0.17","4,729,022.90","439,926.00","10.75","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"HIK.L","HIKMA PHARMACEUTICALS PLC","Health Care","Equity","4,700,054.31","0.17","4,700,054.31","203,954.00","23.04","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"OCDO.L","OCADO GROUP PLC","Consumer Staples","Equity","3,273,627.42","0.11","3,273,627.42","712,604.00","4.59","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"

