Name,Ticker,Weighting
"Zhejiang Sanhua Intelligent Controls Co., Ltd. Class A",002050.SZ,0.32%
"Beijing Oriental Yuhong Waterproof Technology Co., Ltd. Class A",002271.SZ,0.32%
"China Everbright Bank Co., Ltd. Class A",601818.SS,0.32%
Anhui Conch Cement Company Limited Class A,600585.SS,0.32%
"Bank of Shanghai Co., Ltd. Class A",601229.SS,0.31%
"37 Interactive Entertainment Network Technology Group Co., Ltd.",002555.SZ,0.31%
"Fuyao Glass Industry Group Co., Ltd. Class A",600660.SS,0.30%
"Baoshan Iron & Steel Co., Ltd. Class A",600019.SS,0.30%
TCL Technology Group Corporation Class A,000100.SZ,0.30%
"360 Security Technology, Inc. Class A",601360.SS,0.29%
"JCET Group Co., Ltd. Class A",600584.SS,0.28%
"Montage Technology Co., Ltd. Class A",688008.SS,0.27%
"China Merchants Securities Co., Ltd. Class A",600999.SS,0.27%
"Daqin Railway Co., Ltd. Class A",601006.SS,0.27%
ORIENT SECURITIES CO LTD Class A,600958.SS,0.27%
Glodon Company Limited Class A,002410.SZ,0.27%
Inspur Electronic Information Industry Co. Ltd. Class A,000977.SZ,0.27%
"Yunnan Energy New Material Co., Ltd. Class A",002812.SZ,0.26%
Aluminum Corporation of China Limited Class A,601600.SS,0.26%
China Construction Bank Corporation Class A,601939.SS,0.26%
"Shandong Gold Mining Co., Ltd. Class A",600547.SS,0.26%
"Shandong Hualu-Hengsheng Chemical Co., Ltd. Class A",600426.SS,0.25%
"Guangzhou Tinci Materials Technology Co., Ltd",002709.SZ,0.25%
"Wingtech Technology Co., Ltd. Class A",600745.SS,0.25%
"Shenzhen Transsion Holding Co., Ltd. Class A",688036.SS,0.24%
Trina Solar Ltd Class A,688599.SS,0.24%
"GF Securities Co., Ltd. Class A",000776.SZ,0.24%
Yonyou Network Technology Co. Ltd. Class A,600588.SS,0.24%
GoerTek Inc. Class A,002241.SZ,0.24%
"China Merchants Shekou Industrial Zone Holdings Co., Ltd. Class A",001979.SZ,0.23%
Changchun High & New Technology Industry (Group) Inc. Class A,000661.SZ,0.23%
"China Industrial Securities Co., Ltd. Class A",601377.SS,0.23%
"Anhui Gujing Distillery Co., Ltd. Class A",000596.SZ,0.22%
"Beijing TongRenTang Co., Ltd. Class A",600085.SS,0.22%
"Power Construction Corporation of China, Ltd. Class A",601669.SS,0.22%
"SDIC Power Holdings Co., Ltd. Class A",600886.SS,0.22%
CMOC Group Limited Class A,603993.SS,0.22%
"Shenwan Hongyuan Group Co., Ltd. Class A",000166.SZ,0.22%
Inner Mongolia Baotou Steel Union Co. Ltd. Class A,600010.SS,0.22%
"Bank of Nanjing Co., Ltd. Class A",601009.SS,0.22%
"Huaneng Power International, Inc. Class A",600011.SS,0.22%
China Resources Microelectronics Ltd. Class A,688396.SS,0.21%
"Shanghai Baosight Software Co., Ltd. Class A",600845.SS,0.21%
Yunnan Baiyao Group Co. Ltd. Class A,000538.SZ,0.21%
"Sichuan Chuantou Energy Co., Ltd. Class A",600674.SS,0.21%
"Hua Xia Bank Co., Limited Class A",600015.SS,0.21%
"Shanghai Fosun Pharmaceutical (Group) Co., Ltd. Class A",600196.SS,0.20%
Zhejiang Dahua Technology Co. Ltd. Class A,002236.SZ,0.20%
"Tsingtao Brewery Co., Ltd. Class A",600600.SS,0.02%
Metallurgical Corporation of China Ltd. Class A,601618.SS,0.20%
"China Jushi Co., Ltd. Class A",600176.SS,0.02%
Ninestar Corp. Class A,002180.SZ,0.02%
"Jiangsu King\'s Luck Brewery Joint-stock Co., Ltd. Class A",603369.SS,0.20%
"Shanghai RAAS Blood Products Co., Ltd. Class A",002252.SZ,0.19%
China International Capital Corp. Ltd. Class A,601995.SS,0.19%
"GD Power Development Co., Ltd Class A",600795.SS,0.19%
"Shanghai Putailai New Energy Technology Co., Ltd. Class A",603659.SS,0.19%
"Huadong Medicine Co., Ltd. Class A",000963.SZ,0.19%
"New China Life Insurance Co., Ltd. Class A",601336.SS,0.19%
Zoomlion Heavy Industry Science & Technology Co. Ltd. Class A,000157.SZ,0.19%
"Guangdong Haid Group Co., Limited Class A",002311.SZ,0.19%
"Huizhou Desay SV Automotive Co., Ltd. Class A",002920.SZ,0.19%
"Rongsheng Petrochemical Co., Ltd. Class A",002493.SZ,0.19%
China Energy Engineering Corp. Ltd. Class A,601868.SS,0.19%
National Silicon Industry Group Co. Ltd. Class A,688126.SS,0.19%
"Shanghai Aiko Solar Energy Co., Ltd. Class A",600732.SS,0.18%
"Hangzhou Silan Microelectronics Co., Ltd. Class A",600460.SS,0.18%
"XCMG Construction Machinery Co., Ltd. Class A",000425.SZ,0.18%
"China National Chemical Engineering Co., Ltd Class A",601117.SS,0.18%
"Xinjiang Goldwind Science & Technology Co., Ltd. Class A",002202.SZ,0.18%
"CSC Financial Co., Ltd. Class A",601066.SS,0.18%
"China Zhenhua (Group) Science & Technology Co., Ltd. Class A",000733.SZ,0.18%
China Southern Airlines Company Limited Class A,600029.SS,0.18%
"Bank of Hangzhou Co., Ltd. Class A",600926.SS,0.18%
