Name,Ticker,Weighting
Sino-Thai Engineering & Construction Public Co. Ltd. NVDR,STEC.BK,0.17%
Thai Vegetable Oil Public Co. Ltd. NVDR,TVO.BK,0.17%
Forth Corp. Public Co. Ltd. NVDR,FORTH.BK,0.17%
"Sabuy Technology Public Co., Ltd. NVDR",SABUY.BK,0.16%
"Ichitan Group Public Co., Ltd. NVDR",ICHI.BK,0.16%
"Bangkok Aviation Fuel Services Public Co., Ltd. NVDR",BAFS.BK,0.16%
Bangkok Land Public Co. Ltd. NVDR,BLAND.BK,0.16%
"SISB Public Co., Ltd. NVDR",SISB.BK,0.16%
Origin Property Public Company Ltd NVDR,ORI.BK,0.16%
Sappe Public Company Ltd NVDR,SAPPE.BK,0.16%
Super Energy Corporation Public Company Limited NVDR,SUPER.BK,0.15%
Sri Trang Gloves (Thailand) Public Co. Ltd. NVDR,STGT.BK,0.15%
Regional Container Lines Public Co. Ltd. NVDR,RCL.BK,0.15%
Banpu power Public Company Ltd NVDR,BPP.BK,0.15%
Major Cineplex Group Public Co. Ltd. NVDR,MAJOR.BK,0.15%
Khon Kaen Sugar Industry Public Co. Ltd. NVDR,KSL.BK,0.14%
TPI Polene Public Co. Ltd. NVDR,TPIPL.BK,0.14%
Dynasty Ceramic Public Co. Ltd. NVDR,DCC.BK,0.14%
Thoresen Thai Agencies Public Co. Ltd. NVDR,TTA.BK,0.14%
TPI Polene Power Public Company Ltd NVDR,TPIPP.BK,0.14%
"Precious Shipping Public Co., Ltd. NVDR",PSL.BK,0.13%
TQM Alpha Public Company Limited NVDR,TQM.BK,0.13%
Aurora Design Public Company Limited NVDR,AURA.BK,0.13%
"BEC World Public Co., Ltd. NVDR",BEC.BK,0.12%
R.S. Public Co. Ltd. NVDR,RS.BK,0.12%
CK Power Public Co. Ltd. NVDR,CKP.BK,0.12%
Pruksa Holding Public Company Ltd NVDR,PSH.BK,0.12%
SCGJWD Logistics Public Company Limited NVDR,SJWD.BK,0.11%
Thaicom Public Co. Ltd. NVDR,THCOM.BK,0.11%
Ditto (Thailand) Public Company Limited NVDR,DITTO.BK,0.11%
Prima Marine Public Co. Ltd. NVDR,PRM.BK,0.11%
"SC Asset Corp. Public Co., Ltd. NVDR",SC.BK,0.11%
"Ratchthani Leasing Public Co., Ltd. NVDR",THANI.BK,0.11%
SPCG Public Co. Ltd. NVDR,SPCG.BK,0.1%
"Asia Sermkij Leasing Public Co., Ltd. NVDR",ASK.BK,0.1%
"Nex Point Public Co., Ltd. NVDR",NEX.BK,0.1%
R&B Food Supply Public Company Ltd NVDR,RBF.BK,0.1%
Jasmine International Public Co. Ltd. NVDR,JAS.BK,0.1%
Eastern Polymer Group Public Company Ltd NVDR,EPG.BK,0.1%
