Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
FFIE,FARADAY FUTURE INTELLIGENT ELECTRI,Consumer Discretionary,Equity,"3,034,311.99",0.01,"3,034,311.99","11,151,459.00",0.27,United States,NASDAQ,USD,1,USD,-
NGM,NGM BIOPHARMACEUTICALS INC,Health Care,Equity,"3,039,094.30",0.01,"3,039,094.30","891,230.00",3.41,United States,NASDAQ,USD,1,USD,-
TDUP,THREDUP INC CLASS A,Consumer Discretionary,Equity,"3,013,689.66",0.01,"3,013,689.66","1,333,491.00",2.26,United States,NASDAQ,USD,1,USD,-
SKIL,SKILLSOFT CORP CLASS A,Industrials,Equity,"3,017,645.92",0.01,"3,017,645.92","1,840,028.00",1.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
REAL,THE REALREAL INC,Consumer Discretionary,Equity,"3,000,322.50",0.01,"3,000,322.50","2,000,215.00",1.5,United States,NASDAQ,USD,1,USD,-
AXTI,AXT INC,Information Technology,Equity,"2,995,301.75",0.01,"2,995,301.75","904,925.00",3.31,United States,NASDAQ,USD,1,USD,-
NDLS,NOODLES CLASS A,Consumer Discretionary,Equity,"2,995,485.36",0.01,"2,995,485.36","883,624.00",3.39,United States,NASDAQ,USD,1,USD,-
COOK,TRAEGER INC,Consumer Discretionary,Equity,"2,968,212.00",0.01,"2,968,212.00","761,080.00",3.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
GRPN,GROUPON INC,Consumer Discretionary,Equity,"2,965,357.60",0.01,"2,965,357.60","500,905.00",5.92,United States,NASDAQ,USD,1,USD,-
WISH,CONTEXTLOGIC INC CLASS A,Consumer Discretionary,Equity,"2,954,355.20",0.01,"2,954,355.20","434,464.00",6.8,United States,NASDAQ,USD,1,USD,-
FEAM,5E ADVANCED MATERIALS INC,Materials,Equity,"2,942,788.82",0.01,"2,942,788.82","850,517.00",3.46,United States,NASDAQ,USD,1,USD,-
RMBL,RUMBLEON INC CLASS B,Consumer Discretionary,Equity,"2,943,749.76",0.01,"2,943,749.76","229,264.00",12.84,United States,NASDAQ,USD,1,USD,-
LTCH,LATCH INC,Information Technology,Equity,"2,907,366.70",0.01,"2,907,366.70","2,185,990.00",1.33,United States,NASDAQ,USD,1,USD,-
CRGE,CHARGE ENTERPRISES INC,Communication,Equity,"2,881,584.16",0.01,"2,881,584.16","2,770,754.00",1.04,United States,NASDAQ,USD,1,USD,-
ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,Equity,"2,858,225.81",0.01,"2,858,225.81","1,528,463.00",1.87,United States,NASDAQ,USD,1,USD,-
WKHS,WORKHORSE GROUP INC,Consumer Discretionary,Equity,"2,855,905.34",0.01,"2,855,905.34","3,388,592.00",0.84,United States,NASDAQ,USD,1,USD,-
STRS,STRATUS PROPERTIES INC,Real Estate,Equity,"2,801,297.40",0.01,"2,801,297.40","124,835.00",22.44,United States,NASDAQ,USD,1,USD,-
SOND,SONDER HOLDINGS INC CLASS A,Consumer Discretionary,Equity,"2,795,827.32",0.01,"2,795,827.32","4,150,575.00",0.67,United States,NASDAQ,USD,1,USD,-
HFFG,HF FOODS GROUP INC,Consumer Staples,Equity,"2,777,343.80",0.01,"2,777,343.80","721,388.00",3.85,United States,NASDAQ,USD,1,USD,-
CTRN,CITI TRENDS INC,Consumer Discretionary,Equity,"2,761,840.40",0.01,"2,761,840.40","184,615.00",14.96,United States,NASDAQ,USD,1,USD,-
CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,Equity,"2,764,753.81",0.01,"2,764,753.81","233,707.00",11.83,United States,NASDAQ,USD,1,USD,-
